itemkey,itemvalue,itemlink,strict
PTR,Pointer,https://en.wikipedia.org/wiki/List_of_DNS_record_types#Resource_records,true
QoS,Quality of Service,https://en.wikipedia.org/wiki/Quality_of_service,true
QSFP,Quad Small Form-factor Pluggable,https://en.wikipedia.org/wiki/Small_Form-factor_Pluggable#QSFP,true
RADIUS,Remote Authentication Dial-In User Service,https://en.wikipedia.org/wiki/RADIUS,true
RDP,Remote Desktop Protocol (Windows),https://en.wikipedia.org/wiki/Remote_Desktop_Protocol,true
RFB,Remote Frame Buffer (VNC),https://en.wikipedia.org/wiki/RFB_(protocol),false
RFID,Radio-Frequency Identification,https://en.wikipedia.org/wiki/Radio-frequency_identification,true
RIP,Routing Information Protocol,https://en.wikipedia.org/wiki/Routing_Information_Protocol,true
RJ,Registered Jack,https://en.wikipedia.org/wiki/Registered_jack,true
RPO,Recovery Point Objective,https://en.wikipedia.org/wiki/IT_disaster_recovery#Recovery_Point_Objective,true
RSTP,Rapid Spanning Tree Protocol,https://en.wikipedia.org/wiki/Spanning_Tree_Protocol#Rapid_Spanning_Tree_Protocol,true
RTO,Recovery Time Objective,https://en.wikipedia.org/wiki/IT_disaster_recovery#Recovery_Time_Objective,true
RX,Receiver,https://en.wikipedia.org/wiki/Telecommunications#Basic_elements,true
SaaS,Software as a Service,https://en.wikipedia.org/wiki/Software_as_a_service,true
SAML,Security Assertion Markup Language,https://en.wikipedia.org/wiki/Security_Assertion_Markup_Language,true
SAN,Storage Area Network,https://en.wikipedia.org/wiki/Storage_area_network,true
SASE,Secure Access Server Edge,https://en.wikipedia.org/wiki/Secure_access_service_edge,true
SC,Subscriber Connector (Fiber Optic),https://en.wikipedia.org/wiki/Optical_fiber_connector,true
SCADA,Supervisory Control And Data Acquisition,https://en.wikipedia.org/wiki/SCADA,true
SDN,Software-Defined Networking,https://en.wikipedia.org/wiki/Software-defined_networking,true
SD-WAN,Software-Defined Wide Area Network,https://en.wikipedia.org/wiki/SD-WAN,true
SFP,Small Form-factor Pluggable,https://en.wikipedia.org/wiki/Small_Form-factor_Pluggable,true
SFTP,SSH File Transfer Protocol,https://en.wikipedia.org/wiki/SSH_File_Transfer_Protocol,true
SIP,Session Initiation Protocol,https://en.wikipedia.org/wiki/Session_Initiation_Protocol,true
SIEM,Security Information and Event Management,https://en.wikipedia.org/wiki/Security_information_and_event_management,true
SLA,Service-level Agreement,https://en.wikipedia.org/wiki/Service-level_agreement,true
SLAAC,Stateless Address Autoconfiguration,https://en.wikipedia.org/wiki/IPv6_address#Stateless_address_autoconfiguration_(SLAAC),true
SMB,Server Message Block,https://en.wikipedia.org/wiki/Server_Message_Block,true
SMTP,Simple Mail Transfer Protocol,https://en.wikipedia.org/wiki/Simple_Mail_Transfer_Protocol,true
SMTPS,Simple Mail Transfer Protocol Secure,https://en.wikipedia.org/wiki/SMTPS,true
SNMP,Simple Network Management Protocol,https://en.wikipedia.org/wiki/Simple_Network_Management_Protocol,true
SOA,Start of Authority (DNS),https://en.wikipedia.org/wiki/SOA_record,true
SQL,Structured Query Language,https://en.wikipedia.org/wiki/SQL,true
SSE,Security Service Edge,https://en.wikipedia.org/wiki/Secure_access_service_edge,true
SSH,Secure Shell,https://en.wikipedia.org/wiki/Secure_Shell,true
SSID,Service Set Identifier,https://en.wikipedia.org/wiki/Service_set_(802.11_network)#Service_set_identifier,true
SSL,Secure Sockets Layer,"https://en.wikipedia.org/wiki/Transport_Layer_Security#SSL_1.0,_2.0,_and_3.0",true
SSO,Single Sign-On,https://en.wikipedia.org/wiki/Single_sign-on,true
ST,Straight Tip (Fiber Optic),https://en.wikipedia.org/wiki/Optical_fiber_connector,true
STP,Shielded Twisted Pair,https://en.wikipedia.org/wiki/Twisted_pair,true
STP,Spanning Tree Protocol,https://en.wikipedia.org/wiki/Spanning_Tree_Protocol,false
SVI,Switch Virtual Interface,https://en.wikipedia.org/wiki/Switch_virtual_interface,true
TACACS+,Terminal Access Controller Access Control System Plus,https://en.wikipedia.org/wiki/TACACS,true
TCP,Transmission Control Protocol,https://en.wikipedia.org/wiki/Transmission_Control_Protocol,true
TFTP,Trivial File Transfer Protocol,https://en.wikipedia.org/wiki/Trivial_File_Transfer_Protocol,true
TLS,Transport Layer Security,https://en.wikipedia.org/wiki/Transport_Layer_Security,false
TTL,Time to Live,https://en.wikipedia.org/wiki/Time_to_live,true
TX,Transmitter,https://en.wikipedia.org/wiki/Telecommunications#Basic_elements,true
TXT,Text,https://en.wikipedia.org/wiki/TXT_record,true
UDP,User Datagram Protocol,https://en.wikipedia.org/wiki/User_Datagram_Protocol,true
UPS,Uninterruptible Power Supply,https://en.wikipedia.org/wiki/Uninterruptible_power_supply,true
URL,Uniform Resource Locator,https://en.wikipedia.org/wiki/URL,true
USB,Universal Serial Bus,https://en.wikipedia.org/wiki/USB,true
UTM,Unified Threat Management,https://en.wikipedia.org/wiki/Unified_threat_management,true
UTP,Unshielded Twisted Pair,https://en.wikipedia.org/wiki/Twisted_pair#Unshielded_twisted_pair,true
VIP,Virtual IP,https://en.wikipedia.org/wiki/Virtual_IP_address,true
VLAN,Virtual LAN,https://en.wikipedia.org/wiki/VLAN,true
VLSM,Variable Length Subnet Mask,https://en.wikipedia.org/wiki/Classless_Inter-Domain_Routing#VLSM,true
VNC,Virtual Network Computing,https://en.wikipedia.org/wiki/VNC,false
VoIP,Voice over Internet Protocol,https://en.wikipedia.org/wiki/Voice_over_IP,true
VPC,Virtual Private Cloud,https://en.wikipedia.org/wiki/Virtual_private_cloud,true
VPN,Virtual Private Network,https://en.wikipedia.org/wiki/Virtual_private_network,true
WAN,Wide Area Network,https://en.wikipedia.org/wiki/Wide_area_network,true
WPA,Wi-Fi Protected Access (TKIP),https://en.wikipedia.org/wiki/Wi-Fi_Protected_Access#WPA,true
WPS,Wi-Fi Protected Setup,https://en.wikipedia.org/wiki/Wi-Fi_Protected_Setup,true
VXLAN,Virtual Extensible LAN,https://en.wikipedia.org/wiki/Virtual_Extensible_LAN,true
ZTA,Zero Trust Architecture,https://en.wikipedia.org/wiki/Zero_trust_architecture,true
